name,description,price,discount_price,category,color,size,image_url,stock
Vault Apparel Item 1,Premium black apparel designed under the tech-luxury aesthetics of VAULT 27.,999,30,Apparel,Black,S,"https://source.unsplash.com/featured/?Apparel,Black",25
Vault Accessories Item 2,Premium white accessories designed under the tech-luxury aesthetics of VAULT 27.,1299,30,Accessories,White,M,"https://source.unsplash.com/featured/?Accessories,White",30
Vault Eyewear Item 3,Premium orange eyewear designed under the tech-luxury aesthetics of VAULT 27.,1499,30,Eyewear,Orange,L,"https://source.unsplash.com/featured/?Eyewear,Orange",35
Vault Tech Gadgets Item 4,Premium grey tech gadgets designed under the tech-luxury aesthetics of VAULT 27.,1799,30,Tech Gadgets,Grey,XL,"https://source.unsplash.com/featured/?TechGadgets,Grey",40
Vault Limited Drops Item 5,Premium silver limited drops designed under the tech-luxury aesthetics of VAULT 27.,1999,30,Limited Drops,Silver,One Size,"https://source.unsplash.com/featured/?LimitedDrops,Silver",45
Vault Apparel Item 6,Premium black apparel designed under the tech-luxury aesthetics of VAULT 27.,2499,30,Apparel,Black,S,"https://source.unsplash.com/featured/?Apparel,Black",50
Vault Accessories Item 7,Premium white accessories designed under the tech-luxury aesthetics of VAULT 27.,2999,30,Accessories,White,M,"https://source.unsplash.com/featured/?Accessories,White",55
Vault Eyewear Item 8,Premium orange eyewear designed under the tech-luxury aesthetics of VAULT 27.,3499,30,Eyewear,Orange,L,"https://source.unsplash.com/featured/?Eyewear,Orange",60
Vault Tech Gadgets Item 9,Premium grey tech gadgets designed under the tech-luxury aesthetics of VAULT 27.,3999,30,Tech Gadgets,Grey,XL,"https://source.unsplash.com/featured/?TechGadgets,Grey",65
Vault Limited Drops Item 10,Premium silver limited drops designed under the tech-luxury aesthetics of VAULT 27.,4999,30,Limited Drops,Silver,One Size,"https://source.unsplash.com/featured/?LimitedDrops,Silver",70
Vault Apparel Item 11,Premium black apparel designed under the tech-luxury aesthetics of VAULT 27.,999,30,Apparel,Black,S,"https://source.unsplash.com/featured/?Apparel,Black",25
Vault Accessories Item 12,Premium white accessories designed under the tech-luxury aesthetics of VAULT 27.,1299,30,Accessories,White,M,"https://source.unsplash.com/featured/?Accessories,White",30
Vault Eyewear Item 13,Premium orange eyewear designed under the tech-luxury aesthetics of VAULT 27.,1499,30,Eyewear,Orange,L,"https://source.unsplash.com/featured/?Eyewear,Orange",35
Vault Tech Gadgets Item 14,Premium grey tech gadgets designed under the tech-luxury aesthetics of VAULT 27.,1799,30,Tech Gadgets,Grey,XL,"https://source.unsplash.com/featured/?TechGadgets,Grey",40
Vault Limited Drops Item 15,Premium silver limited drops designed under the tech-luxury aesthetics of VAULT 27.,1999,30,Limited Drops,Silver,One Size,"https://source.unsplash.com/featured/?LimitedDrops,Silver",45
Vault Apparel Item 16,Premium black apparel designed under the tech-luxury aesthetics of VAULT 27.,2499,30,Apparel,Black,S,"https://source.unsplash.com/featured/?Apparel,Black",50
Vault Accessories Item 17,Premium white accessories designed under the tech-luxury aesthetics of VAULT 27.,2999,30,Accessories,White,M,"https://source.unsplash.com/featured/?Accessories,White",55
Vault Eyewear Item 18,Premium orange eyewear designed under the tech-luxury aesthetics of VAULT 27.,3499,30,Eyewear,Orange,L,"https://source.unsplash.com/featured/?Eyewear,Orange",60
Vault Tech Gadgets Item 19,Premium grey tech gadgets designed under the tech-luxury aesthetics of VAULT 27.,3999,30,Tech Gadgets,Grey,XL,"https://source.unsplash.com/featured/?TechGadgets,Grey",65
Vault Limited Drops Item 20,Premium silver limited drops designed under the tech-luxury aesthetics of VAULT 27.,4999,30,Limited Drops,Silver,One Size,"https://source.unsplash.com/featured/?LimitedDrops,Silver",70
Vault Apparel Item 21,Premium black apparel designed under the tech-luxury aesthetics of VAULT 27.,999,30,Apparel,Black,S,"https://source.unsplash.com/featured/?Apparel,Black",25
Vault Accessories Item 22,Premium white accessories designed under the tech-luxury aesthetics of VAULT 27.,1299,30,Accessories,White,M,"https://source.unsplash.com/featured/?Accessories,White",30
Vault Eyewear Item 23,Premium orange eyewear designed under the tech-luxury aesthetics of VAULT 27.,1499,30,Eyewear,Orange,L,"https://source.unsplash.com/featured/?Eyewear,Orange",35
Vault Tech Gadgets Item 24,Premium grey tech gadgets designed under the tech-luxury aesthetics of VAULT 27.,1799,30,Tech Gadgets,Grey,XL,"https://source.unsplash.com/featured/?TechGadgets,Grey",40
Vault Limited Drops Item 25,Premium silver limited drops designed under the tech-luxury aesthetics of VAULT 27.,1999,30,Limited Drops,Silver,One Size,"https://source.unsplash.com/featured/?LimitedDrops,Silver",45
Vault Apparel Item 26,Premium black apparel designed under the tech-luxury aesthetics of VAULT 27.,2499,30,Apparel,Black,S,"https://source.unsplash.com/featured/?Apparel,Black",50
Vault Accessories Item 27,Premium white accessories designed under the tech-luxury aesthetics of VAULT 27.,2999,30,Accessories,White,M,"https://source.unsplash.com/featured/?Accessories,White",55
Vault Eyewear Item 28,Premium orange eyewear designed under the tech-luxury aesthetics of VAULT 27.,3499,30,Eyewear,Orange,L,"https://source.unsplash.com/featured/?Eyewear,Orange",60
Vault Tech Gadgets Item 29,Premium grey tech gadgets designed under the tech-luxury aesthetics of VAULT 27.,3999,30,Tech Gadgets,Grey,XL,"https://source.unsplash.com/featured/?TechGadgets,Grey",65
Vault Limited Drops Item 30,Premium silver limited drops designed under the tech-luxury aesthetics of VAULT 27.,4999,30,Limited Drops,Silver,One Size,"https://source.unsplash.com/featured/?LimitedDrops,Silver",70
